Movie Name,Year,Character,IMDb Rating,Box Office
Chicken Little,2005,Abby Mallard,5.7,135289768.0
Chicken Little,2005,Buck Cluck,5.7,135289768.0
Chicken Little,2005,Chicken Little,5.7,135289768.0
Chicken Little,2005,Fish Out of Water,5.7,135289768.0
Chicken Little,2005,Foxy Loxy,5.7,135289768.0
Chicken Little,2005,Goosey Loosey,5.7,135289768.0
Chicken Little,2005,Kirby,5.7,135289768.0
Chicken Little,2005,Melvin,5.7,135289768.0
Chicken Little,2005,Morcupine Porcupine,5.7,135289768.0
Chicken Little,2005,Mr. Woolensworth,5.7,135289768.0
Chicken Little,2005,Runt of the Litter,5.7,135289768.0
Chicken Little,2005,Tina,5.7,135289768.0
Chicken Little,2005,Turkey Lurkey,5.7,135289768.0
The Aristocats,1970,Abigail Gabble,7.1,
The Aristocats,1970,Amelia Gabble,7.1,
The Aristocats,1970,Berlioz,7.1,
The Aristocats,1970,Billy Boss,7.1,
The Aristocats,1970,Duchess,7.1,
The Aristocats,1970,Edgar Balthazar the Butler,7.1,
The Aristocats,1970,Frou-Frou,7.1,
The Aristocats,1970,Georges Hautecourt,7.1,
The Aristocats,1970,Hit Cat the English Cat,7.1,
The Aristocats,1970,Lafayette the Basset Hound,7.1,
The Aristocats,1970,Madame Adelaide Bonfamille,7.1,
The Aristocats,1970,Marie,7.1,
The Aristocats,1970,Napoleon the Bloodhound,7.1,
The Aristocats,1970,Peppo the Italian Cat,7.1,
The Aristocats,1970,Roquefort the Mouse,7.1,
The Aristocats,1970,Scat Cat,7.1,
The Aristocats,1970,Shun Gon the Chinese Cat,7.1,
The Aristocats,1970,Thomas O'Malley,7.1,
The Aristocats,1970,Toulouse,7.1,
The Aristocats,1970,Uncle Waldo,7.1,
Aladdin and the Return of Jafar,1994,Abis Mal,5.9,
Aladdin,1992,Abu,8.0,
Aladdin,1992,Aladdin,8.0,
Aladdin,1992,Genie,8.0,
Aladdin,1992,Iago,8.0,
Aladdin,1992,Jafar,8.0,
Aladdin,1992,Magic Carpet,8.0,
Aladdin,1992,Princess Jasmine,8.0,
Aladdin,1992,Rajah,8.0,
Aladdin,1992,Razoul,8.0,
Aladdin,1992,The Sultan,8.0,
The Hunchback of Notre Dame,1996,Achilles,6.9,
The Hunchback of Notre Dame,1996,The Archdeacon,6.9,
The Hunchback of Notre Dame,1996,Captain Phoebus,6.9,
The Hunchback of Notre Dame,1996,Clopin Trouillefou,6.9,
The Hunchback of Notre Dame,1996,Djali,6.9,
The Hunchback of Notre Dame,1996,Esmeralda,6.9,
The Hunchback of Notre Dame,1996,Hugo,6.9,
The Hunchback of Notre Dame,1996,Judge Claude Frollo,6.9,
The Hunchback of Notre Dame,1996,Laverne,6.9,
The Hunchback of Notre Dame,1996,Quasimodo,6.9,
The Hunchback of Notre Dame,1996,Victor,6.9,
The Little Mermaid,1989,Adella,7.6,
The Little Mermaid,1989,Alana,7.6,
The Little Mermaid,1989,Andrina,7.6,
The Little Mermaid,1989,Aquata,7.6,
The Little Mermaid,1989,Ariel,7.6,
The Little Mermaid,1989,Arista,7.6,
The Little Mermaid,1989,Attina,7.6,
The Little Mermaid,1989,Carlotta the Maid,7.6,
The Little Mermaid,1989,Chef Louis,7.6,
The Little Mermaid,1989,Eric,7.6,
The Little Mermaid,1989,Flotsam and Jetsam,7.6,
The Little Mermaid,1989,Flounder,7.6,
The Little Mermaid,1989,Grimsby,7.6,
The Little Mermaid,1989,Harold the Seahorse,7.6,
The Little Mermaid,1989,King Triton,7.6,
The Little Mermaid,1989,Max the Sheepdog,7.6,
The Little Mermaid,1989,Prince Eric,7.6,
The Little Mermaid,1989,Scuttle,7.6,
The Little Mermaid,1989,Sebastian,7.6,
The Little Mermaid,1989,Ursula,7.6,
The Little Mermaid,1989,Vanessa (The Little Mermaid),7.6,
The Aristocats,1970,Adelaide,7.1,
Wreck-It Ralph,2012,Adorabeezle Winterpop,7.7,189412677.0
Wreck-It Ralph,2012,Candlehead,7.7,189412677.0
Wreck-It Ralph,2012,Crumbelina DiCaramello,7.7,189412677.0
Wreck-It Ralph,2012,Duncan,7.7,189412677.0
Wreck-It Ralph,2012,"Fix-It Felix, Jr.",7.7,189412677.0
Wreck-It Ralph,2012,General Hologram,7.7,189412677.0
Wreck-It Ralph,2012,Gloyd Orangeboar,7.7,189412677.0
Wreck-It Ralph,2012,Jubileena Bing-Bing,7.7,189412677.0
Wreck-It Ralph,2012,King Candy/Turbo,7.7,189412677.0
Wreck-It Ralph,2012,Mr. Litwak,7.7,189412677.0
Wreck-It Ralph,2012,Markowski,7.7,189412677.0
Wreck-It Ralph,2012,Minty Zaki,7.7,189412677.0
Wreck-It Ralph,2012,Rancis Fluggerbutter,7.7,189412677.0
Wreck-It Ralph,2012,Sergeant Calhoun,7.7,189412677.0
Wreck-It Ralph,2012,Snowanna Rainbeau,7.7,189412677.0
Wreck-It Ralph,2012,Sour Bill,7.7,189412677.0
Wreck-It Ralph,2012,"Swizzle ""The Swizz"" Malarkey",7.7,189412677.0
Wreck-It Ralph,2012,Taffyta Muttonfudge,7.7,189412677.0
Wreck-It Ralph,2012,Vanellope von Schweetz,7.7,189412677.0
Wreck-It Ralph,2012,Wreck-It Ralph,7.7,189412677.0
Wreck-It Ralph,2012,Wynchel,7.7,189412677.0
Bolt,2008,The Agent,6.8,114053579.0
Bolt,2008,Blake,6.8,114053579.0
Bolt,2008,Bolt,6.8,114053579.0
Bolt,2008,The Director,6.8,114053579.0
Bolt,2008,Dr. Calico,6.8,114053579.0
Bolt,2008,Dr. Forrester,6.8,114053579.0
Bolt,2008,Mindy,6.8,114053579.0
Bolt,2008,Mittens,6.8,114053579.0
Bolt,2008,Penny,6.8,114053579.0
Bolt,2008,Penny's Mom,6.8,114053579.0
Bolt,2008,Rhino,6.8,114053579.0
Bolt,2008,Thug,6.8,114053579.0
Bolt,2008,Veteran Cat,6.8,114053579.0
Lilo & Stitch,2002,Agent Wendy Pleakley,7.2,145771527.0
Lilo & Stitch,2002,Cobra Bubbles,7.2,145771527.0
Lilo & Stitch,2002,David Kawena,7.2,145771527.0
Lilo & Stitch,2002,Dr. Jumba Jookiba,7.2,145771527.0
Lilo & Stitch,2002,Captain Gantu,7.2,145771527.0
Lilo & Stitch,2002,Grand Councilwoman,7.2,145771527.0
Lilo & Stitch,2002,Lilo Pelekai,7.2,145771527.0
Lilo & Stitch,2002,Mertle Edmonds,7.2,145771527.0
Lilo & Stitch,2002,Mrs. Hasagawa,7.2,145771527.0
Lilo & Stitch,2002,Nani Pelekai,7.2,145771527.0
Lilo & Stitch,2002,Stitch,7.2,145771527.0
Donald Duck and the Gorilla,1944,Ajax the Gorilla,7.4,
The Jungle Book,2016,Akela,7.4,363995937.0
The Jungle Book,2016,Bagheera,7.4,363995937.0
The Jungle Book,2016,Baloo Bear,7.4,363995937.0
The Jungle Book,2016,Buzzie the Vulture,7.4,363995937.0
The Jungle Book,2016,Colonel Hathi,7.4,363995937.0
The Jungle Book,2016,Dizzie the Vulture,7.4,363995937.0
The Jungle Book,2016,Father Wolf,7.4,363995937.0
The Jungle Book,2016,Flaps the Vulture,7.4,363995937.0
The Jungle Book,2016,Flunkey the Baboon,7.4,363995937.0
The Jungle Book,2016,Junior,7.4,363995937.0
The Jungle Book,2016,Kaa,7.4,363995937.0
The Jungle Book,2016,King Louie,7.4,363995937.0
The Jungle Book,2016,Mowgli,7.4,363995937.0
The Jungle Book,2016,Shanti (The Girl),7.4,363995937.0
The Jungle Book,2016,Shere Khan,7.4,363995937.0
The Jungle Book,2016,Winifred the Elephant,7.4,363995937.0
The Jungle Book,2016,Ziggy the Vulture,7.4,363995937.0
Lady and the Tramp,1955,Al the Alligator,7.3,
Lady and the Tramp,1955,Aunt Sarah,7.3,
Lady and the Tramp,1955,Beaver,7.3,
Lady and the Tramp,1955,Darling,7.3,
Lady and the Tramp,1955,Jim Dear,7.3,
Lady and the Tramp,1955,Jock,7.3,
Lady and the Tramp,1955,Lady,7.3,
Lady and the Tramp,1955,Peg,7.3,
Lady and the Tramp,1955,Si & Am,7.3,
Lady and the Tramp,1955,Tramp,7.3,
Lady and the Tramp,1955,Trusty,7.3,
Dinosaur,2000,Aladar,6.5,135606304.0
Dinosaur,2000,Baylene,6.5,135606304.0
Dinosaur,2000,Bruton,6.5,135606304.0
Dinosaur,2000,Eema,6.5,135606304.0
Dinosaur,2000,Kron,6.5,135606304.0
Dinosaur,2000,Neera,6.5,135606304.0
Dinosaur,2000,Plio,6.5,135606304.0
Dinosaur,2000,Suri,6.5,135606304.0
Dinosaur,2000,Url,6.5,135606304.0
Dinosaur,2000,Yar,6.5,135606304.0
Dinosaur,2000,Zini,6.5,135606304.0
Home on the Range,2004,Alameda Slim,5.3,49887802.0
Home on the Range,2004,Audrey the Chicken,5.3,49887802.0
Home on the Range,2004,Buck,5.3,49887802.0
Home on the Range,2004,Grace,5.3,49887802.0
Home on the Range,2004,Jeb the Goat,5.3,49887802.0
Home on the Range,2004,Junior the Buffalo,5.3,49887802.0
Home on the Range,2004,Larry the Duck,5.3,49887802.0
Home on the Range,2004,Lucky Jack,5.3,49887802.0
Home on the Range,2004,Maggie,5.3,49887802.0
Home on the Range,2004,Mrs. Calloway,5.3,49887802.0
Home on the Range,2004,Ollie the Pig,5.3,49887802.0
Home on the Range,2004,Pearl Gesner,5.3,49887802.0
Home on the Range,2004,Rico,5.3,49887802.0
Home on the Range,2004,Rusty the Dog,5.3,49887802.0
Home on the Range,2004,Sam the Sheriff,5.3,49887802.0
Home on the Range,2004,Wesley,5.3,49887802.0
Robin Hood,2010,Alan-a-Dale,6.6,105219735.0
Robin Hood,2010,Friar Tuck,6.6,105219735.0
Robin Hood,2010,King Richard,6.6,105219735.0
Robin Hood,2010,Lady Kluck,6.6,105219735.0
Robin Hood,2010,Little John,6.6,105219735.0
Robin Hood,2010,Maid Marian,6.6,105219735.0
Robin Hood,2010,Mother Rabbit,6.6,105219735.0
Robin Hood,2010,Nutsy the Vulture,6.6,105219735.0
Robin Hood,2010,Otto,6.6,105219735.0
Robin Hood,2010,Prince John,6.6,105219735.0
Robin Hood,2010,Robin Hood,6.6,105219735.0
Robin Hood,2010,Sheriff of Nottingham,6.6,105219735.0
Robin Hood,2010,Sir Hiss,6.6,105219735.0
Robin Hood,2010,Sis Bunny,6.6,105219735.0
Robin Hood,2010,Skippy Bunny,6.6,105219735.0
Robin Hood,2010,Tagalong Bunny,6.6,105219735.0
