Movie Name,Year,Genre,IMDb Rating,Box Office
Alice Solves the Puzzle,1925,Animation,5.8,
Alice Solves the Puzzle,1925, Short,5.8,
Alice Solves the Puzzle,1925, Family,5.8,
Trolley Troubles,1927,Animation,6.3,
Trolley Troubles,1927, Short,6.3,
Trolley Troubles,1927, Comedy,6.3,
Plane Crazy,1928,Animation,7.3,
Plane Crazy,1928, Family,7.3,
Plane Crazy,1928, Comedy,7.3,
Plane Crazy,1928, Short,7.3,
Steamboat Willie,1928,Animation,7.6,
Steamboat Willie,1928, Short,7.6,
Steamboat Willie,1928, Comedy,7.6,
Steamboat Willie,1928, Family,7.6,
Steamboat Willie,1928, Musical,7.6,
The Chain Gang,1930,Animation,6.6,
The Chain Gang,1930, Short,6.6,
The Chain Gang,1930, Comedy,6.6,
Mickey's Revue,1932,Comedy,6.5,
Mickey's Revue,1932, Family,6.5,
Mickey's Revue,1932, Animation,6.5,
Mickey's Revue,1932, Short,6.5,
Three Little Pigs,1933,Animation,7.5,
Three Little Pigs,1933, Short,7.5,
Three Little Pigs,1933, Comedy,7.5,
Three Little Pigs,1933, Family,7.5,
Three Little Pigs,1933, Musical,7.5,
Orphan's Benefit,1934,Family,6.7,
Orphan's Benefit,1934, Animation,6.7,
Orphan's Benefit,1934, Short,6.7,
The Wise Little Hen,1934,Animation,7.2,
The Wise Little Hen,1934, Short,7.2,
The Wise Little Hen,1934, Comedy,7.2,
Mickey's Steam Roller,1934,Comedy,6.8,
Mickey's Steam Roller,1934, Family,6.8,
Mickey's Steam Roller,1934, Animation,6.8,
The Tortoise and the Hare,1935,Animation,7.2,
The Tortoise and the Hare,1935, Short,7.2,
The Tortoise and the Hare,1935, Comedy,7.2,
The Tortoise and the Hare,1935, Family,7.2,
Mickey's Rival,1936,Animation,6.9,
Mickey's Rival,1936, Short,6.9,
Mickey's Rival,1936, Comedy,6.9,
Mickey's Rival,1936, Family,6.9,
Mickey's Rival,1936, Romance,6.9,
Snow White and the Seven Dwarfs,1937,Animation,7.6,
Snow White and the Seven Dwarfs,1937, Family,7.6,
Snow White and the Seven Dwarfs,1937, Fantasy,7.6,
Snow White and the Seven Dwarfs,1937, Musical,7.6,
Snow White and the Seven Dwarfs,1937, Romance,7.6,
Donald's Nephews,1938,Animation,7.2,
Donald's Nephews,1938, Short,7.2,
Donald's Nephews,1938, Comedy,7.2,
Donald's Cousin Gus,1939,Family,7,
Donald's Cousin Gus,1939, Animation,7,
Donald's Cousin Gus,1939, Comedy,7,
Fantasia,1940,Animation,7.8,
Fantasia,1940, Family,7.8,
Fantasia,1940, Fantasy,7.8,
Fantasia,1940, Music,7.8,
Pinocchio,1940,Animation,7.4,
Pinocchio,1940, Comedy,7.4,
Pinocchio,1940, Family,7.4,
Pinocchio,1940, Fantasy,7.4,
Pinocchio,1940, Musical,7.4,
Bone Trouble,1940,Family,7.2,
Bone Trouble,1940, Animation,7.2,
Bone Trouble,1940, Comedy,7.2,
Mr. Duck Steps Out,1940,Animation,7.5,
Mr. Duck Steps Out,1940, Short,7.5,
Mr. Duck Steps Out,1940, Comedy,7.5,
Dumbo,1941,Animation,7.2,
Dumbo,1941, Drama,7.2,
Dumbo,1941, Family,7.2,
Dumbo,1941, Musical,7.2,
The Reluctant Dragon,1941,Animation,7,
The Reluctant Dragon,1941, Comedy,7,
The Reluctant Dragon,1941, Family,7,
Bambi,1942,Animation,7.3,
Bambi,1942, Drama,7.3,
Bambi,1942, Family,7.3,
