Movie Name,Year,Keyword,IMDb Rating,Box Office
Chicken Little,2005,fish,5.7,135289768.0
Chicken Little,2005,small town,5.7,135289768.0
Chicken Little,2005,space marine,5.7,135289768.0
Chicken Little,2005,chicken,5.7,135289768.0
Chicken Little,2005,alien,5.7,135289768.0
Chicken Little,2005,best friend,5.7,135289768.0
Chicken Little,2005,alien invasion,5.7,135289768.0
Chicken Little,2005,animal,5.7,135289768.0
Chicken Little,2005,duringcreditsstinger,5.7,135289768.0
Chicken Little,2005,3d,5.7,135289768.0
The Aristocats,1970,"paris, france",7.1,
The Aristocats,1970,cat,7.1,
The Aristocats,1970,butler,7.1,
The Aristocats,1970,return,7.1,
The Aristocats,1970,suspension,7.1,
The Aristocats,1970,music,7.1,
The Aristocats,1970,inheritance,7.1,
Aladdin and the Return of Jafar,1994,middle east,5.9,
Aladdin and the Return of Jafar,1994,musical,5.9,
Aladdin and the Return of Jafar,1994,sequel,5.9,
Aladdin and the Return of Jafar,1994,revenge,5.9,
Aladdin and the Return of Jafar,1994,magical object,5.9,
Aladdin and the Return of Jafar,1994,animal,5.9,
Aladdin and the Return of Jafar,1994,aftercreditsstinger,5.9,
Aladdin and the Return of Jafar,1994,aladdin,5.9,
Aladdin,1992,magic,8.0,
Aladdin,1992,parrot,8.0,
Aladdin,1992,musical,8.0,
Aladdin,1992,tiger,8.0,
Aladdin,1992,sultan,8.0,
Aladdin,1992,flying carpet,8.0,
Aladdin,1992,cartoon,8.0,
Aladdin,1992,princess,8.0,
Aladdin,1992,love,8.0,
Aladdin,1992,monkey,8.0,
Aladdin,1992,arab,8.0,
Aladdin,1992,aftercreditsstinger,8.0,
Aladdin,1992,genie,8.0,
Aladdin,1992,arabian nights,8.0,
Aladdin,1992,three wishes,8.0,
Aladdin,1992,animal sidekick,8.0,
Aladdin,1992,magic lamp,8.0,
The Hunchback of Notre Dame,1996,"paris, france",6.9,
The Hunchback of Notre Dame,1996,based on novel or book,6.9,
The Hunchback of Notre Dame,1996,judge,6.9,
The Hunchback of Notre Dame,1996,obsession,6.9,
The Hunchback of Notre Dame,1996,dance,6.9,
The Hunchback of Notre Dame,1996,sword,6.9,
The Hunchback of Notre Dame,1996,mockery,6.9,
The Hunchback of Notre Dame,1996,ugliness,6.9,
The Hunchback of Notre Dame,1996,cathedral,6.9,
The Hunchback of Notre Dame,1996,musical,6.9,
The Hunchback of Notre Dame,1996,fool,6.9,
The Hunchback of Notre Dame,1996,bell,6.9,
The Hunchback of Notre Dame,1996,religion,6.9,
The Hunchback of Notre Dame,1996,orphan,6.9,
The Hunchback of Notre Dame,1996,army captain,6.9,
The Hunchback of Notre Dame,1996,festival,6.9,
The Hunchback of Notre Dame,1996,angry mob,6.9,
The Hunchback of Notre Dame,1996,notre dame cathedral,6.9,
The Hunchback of Notre Dame,1996,witch hunt,6.9,
The Hunchback of Notre Dame,1996,15th century,6.9,
The Little Mermaid,1989,sea,7.6,
The Little Mermaid,1989,fireworks,7.6,
The Little Mermaid,1989,prince,7.6,
The Little Mermaid,1989,kingdom,7.6,
The Little Mermaid,1989,daughter,7.6,
The Little Mermaid,1989,mermaid,7.6,
The Little Mermaid,1989,princess,7.6,
The Little Mermaid,1989,crab,7.6,
The Little Mermaid,1989,spell,7.6,
The Little Mermaid,1989,fish out of water,7.6,
The Little Mermaid,1989,single father,7.6,
The Little Mermaid,1989,true love,7.6,
The Little Mermaid,1989,bargain,7.6,
The Little Mermaid,1989,father daughter relationship,7.6,
The Aristocats,1970,"paris, france",7.1,
The Aristocats,1970,cat,7.1,
The Aristocats,1970,butler,7.1,
The Aristocats,1970,return,7.1,
The Aristocats,1970,suspension,7.1,
The Aristocats,1970,music,7.1,
The Aristocats,1970,inheritance,7.1,
Wreck-It Ralph,2012,support group,7.7,189412677.0
Wreck-It Ralph,2012,product placement,7.7,189412677.0
Wreck-It Ralph,2012,bullying,7.7,189412677.0
Wreck-It Ralph,2012,racing,7.7,189412677.0
Wreck-It Ralph,2012,arcade,7.7,189412677.0
