Movie Name,Year,Meta Score,IMDb Rating,Box Office,Production Company
Chicken Little,2005,48.0,5.7,135289768.0,Buena Vista Pictures
The Aristocats,1970,66.0,7.1,,Buena Vista
Aladdin and the Return of Jafar,1994,,5.9,,Buena Vista Pictures
Aladdin,1992,86.0,8.0,,Walt Disney Pictures
The Hunchback of Notre Dame,1996,74.0,6.9,,Walt Disney Feature Animation
The Little Mermaid,1989,88.0,7.6,,Walt Disney Pictures
The Aristocats,1970,66.0,7.1,,Buena Vista
Wreck-It Ralph,2012,72.0,7.7,189412677.0,Walt Disney Pictures
Bolt,2008,67.0,6.8,114053579.0,Walt Disney Pictures
Lilo & Stitch,2002,73.0,7.2,145771527.0,Buena Vista Distribution Compa
Donald Duck and the Gorilla,1944,,7.4,,N/A
The Jungle Book,2016,77.0,7.4,363995937.0,Walt Disney Pictures
Lady and the Tramp,1955,78.0,7.3,,Buena Vista Pictures
Dinosaur,2000,56.0,6.5,135606304.0,Buena Vista
Home on the Range,2004,50.0,5.3,49887802.0,Walt Disney Pictures
Robin Hood,2010,53.0,6.6,105219735.0,Universal
Hercules,1997,74.0,7.3,,Buena Vista Internationa
Alice in Wonderland,2010,53.0,6.4,319323000.0,Walt Disney Pictures
Make Mine Music,1946,60.0,6.3,,N/A
The Fox and the Hound,1981,65.0,7.3,,Buena Vista Pictures
Cinderella,2015,67.0,6.9,183327144.0,Walt Disney Pictures
Brother Bear 2,2006,,6.2,,Walt Disney Home Entertainment
Lilo & Stitch,2002,73.0,7.2,145771527.0,Buena Vista Distribution Compa
Beauty and the Beast: The Enchanted Christmas,1997,,6.1,,Walt Disney Animation Canada
The Adventures of Ichabod and Mr. Toad,1949,74.0,7.0,,Walt Disney Productions
101 Dalmatians,1996,49.0,5.7,,Buena Vista Pictures
Frozen,2013,74.0,7.5,400736600.0,Walt Disney Pictures
House of Mouse,2001,,7.6,,
The Three Caballeros,1944,85.0,6.5,,Walt Disney Home Video
Tarzan,1999,79.0,7.3,,Buena Vista Pictures
The Sword in the Stone,1963,61.0,7.2,,Buena Vista Pictures
Beauty and the Beast,1991,95.0,8.0,47611331.0,Buena Vista
Jungle Cubs,1996,,6.3,,
Zootopia,2016,78.0,8.0,341264012.0,Walt Disney Animation Studios
Atlantis: The Lost Empire,2001,52.0,6.9,83561615.0,Walt Disney Pictures
Sleeping Beauty,1959,85.0,7.2,,Buena Vista
